train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,eval_ep_lens_Average,eval_ep_lens_Std,eval_ep_lens_Median,eval_ep_lens_Min,eval_ep_lens_Max,train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,eval_returns_Average,eval_returns_Std,eval_returns_Median,eval_returns_Min,eval_returns_Max,Train_EnvstepsSoFar,TimeSinceStart,Training Loss,reward_Average,reward_Std,reward_Median,reward_Min,reward_Max,eval_reward_Average,eval_reward_Std,eval_reward_Median,eval_reward_Min,eval_reward_Max,Initial_DataCollection_AverageReturn,step
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,838.79614,15.657501,838.79614,823.1387,854.4537,827.6615,1.6882324,827.6615,825.97327,829.34973,2000,18.725188970565796,0.019233638,0.83879614,0.3591931,0.86798966,-0.45740044,2.2553897,0.8276615,0.36150694,0.8580786,-0.2665689,2.36396,838.79614,0
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,849.2754,6.0926514,849.2754,843.18274,855.36804,967.2507,53.913757,967.2507,913.3369,1021.1644,4000,26.262676239013672,0.045942154,0.8492754,0.3647363,0.8559793,-0.62082165,2.3258646,0.96725065,0.37452614,0.91644347,-0.26527295,2.3719916,838.79614,1
1000.0,0.0,1000.0,1000,1000,1000.0,0.0,1000.0,1000,1000,900.18933,45.193268,900.18933,854.99603,945.38257,700.27386,66.520874,700.27386,633.753,766.79474,6000,33.65337824821472,0.030615676,0.90018934,0.37059703,0.8655477,-0.5548308,2.2772224,0.7002739,0.74554366,0.599004,-1.8106698,4.2373323,838.79614,2
